Taxon Name,Taxonomic Serial Number (TSN),Parent Taxonomic Serial Number (TSN),Taxon Group,Taxon Level,AphiaID,NADED ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon Citations,Preferred Source,Former or Invalid Name,Common Name,Alternate Name,NODC Code,Xerces Code,Active
"Sphaeromatidae","92283",""," Invertebrates","Family","118277","","Animalia","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","","","Bruce, Niel L.; Schotte, M. (2010). Sphaeromatidae Latreille, 1825. In: Boyko, C.B; Bruce, N.L.; Merrin, K. L.; Ota, Y.; Poore, G.C.B.; Taiti, S.; Schotte, M. & Wilson, G.D.F. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=118277 on 2016-05-10","WORMS","","","","","","Y"
"Sphaeromias","127761",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Sphaerosyllis","65735",""," Invertebrates","Genus","129677","","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis","","Musco, L.; Bellan, G. (2008). Sphaerosyllis Claparède, 1863. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=129677 on 2016-05-10","WORMS","","",""," 50012308","","Y"
"Sphaerosyllis californiensis","65744",""," Invertebrates","Species","332003","","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis","californiensis","WoRMS (2015). Sphaerosyllis californiensis Hartman, 1966. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=332003 on 2016-05-10","WORMS","","","","","","Y"
"Sphaerosyllis ranunculus","",""," Invertebrates","Species","332025","","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis","ranunculus","Read, G. (2015). Sphaerosyllis ranunculus Kudenov & Harris, 1995. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=332025 on 2016-05-10","WORMS","","",""," 5001230889","","Y"
"Spio","66864",""," Invertebrates","Genus","129625","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","","Bellan, G. (2016). Spio Fabricius, 1785. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=129625 on 2016-05-10","WORMS","","",""," 50014307","","Y"
"Spio butleri","66872",""," Invertebrates","Species","332054","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","butleri","WoRMS (2015). Spio butleri Berkeley & Berkeley, 1954. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=332054 on 2016-05-10","WORMS","","","","","","Y"
"Spio cirrifera","66867",""," Invertebrates","Species","558894","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","cirrifera","Read, G. (2015). Spio cirrifera (Banse & Hobson, 1968). In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=558894 on 2016-05-10","WORMS","","","","","","Y"
"Spio filicornis","66865",""," Invertebrates","Species","131183","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","filicornis","Bellan, G. (2008). Spio filicornis (Müller, 1776). In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=131183 on 2016-05-10","WORMS","","","","","","Y"
"Spio limicola","66871",""," Invertebrates","Species","156433","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","limicola","Read, G. (2015). Spio limicola Verrill, 1879. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=156433 on 2016-05-10","WORMS","","","","","","Y"
"Spiochaetopterus costarum","67107",""," Invertebrates","Species","129922","","Animalia","Annelida","Polychaeta","Not assigned","Chaetopteridae","Spiochaetopterus","costarum","Bellan, G. (2008). Spiochaetopterus costarum (Claparède, 1869). In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php/aphia.php?p=taxdetails&id=129922 on 2016-05-10","WoRMS"," Leptochaetopterus pottsi"," jointed tubeworm"," Spiochaetopterus costarum pottsi","","","Y"
